Ten_Bai,Product_Category_Name,Total_Revenue_2024,Total_Items_Sold
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Consoles_Games,72967.5,420
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Home_Construction,69357.77,461
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Computers,67860.8,74
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Home_Appliances,66460.24,528
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Small_Appliances_Home_Oven_And_Coffee,49297.59,72
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Agro_Industry_And_Commerce,47262.18,151
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Construction_Tools_Lights,43867.84,286
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Furniture_Living_Room,42774.14,241
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Industry_Commerce_And_Business,37332.84,229
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Audio,36258.83,195
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Construction_Tools_Safety,35409.3,151
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Kitchen_Dining_Laundry_Garden_Furniture,34951.25,161
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Books_General_Interest,32252.8,316
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Fixed_Telephony,30497.86,102
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Air_Conditioning,28889.12,157
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Food,25709.75,382
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Home_Confort,24186.81,156
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Signaling_And_Security,22413.09,153
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Drinks,21834.06,287
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Costruction_Tools_Garden,20492.69,160
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Art,17947.63,168
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Books_Technical,16570.43,222
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Furniture_Bedroom,13992.43,64
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Costruction_Tools_Tools,13448.2,81
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Fashion_Shoes,10118.42,71
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Food_Drink,10118.0,147
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Market_Place,9364.01,107
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Christmas_Supplies,8078.5,90
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Cine_Photo,7253.71,64
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Music,4994.58,27
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Books_Imported,4090.71,44
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Party_Supplies,3278.41,32
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Fashion_Underwear_Beach,3116.21,43
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Fashion_Male_Clothing,2810.41,26
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Furniture_Mattress_And_Upholstery,2688.64,20
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Arts_And_Craftmanship,2008.92,22
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Diapers_And_Hygiene,1890.58,36
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Dvds_Blu_Ray,1674.85,25
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Tablets_Printing_Image,1541.83,22
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Flowers,1216.64,25
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,La_Cuisine,890.85,4
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Fashio_Female_Clothing,783.37,16
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Fashion_Sport,431.19,5
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Home_Comfort_2,283.91,10
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Fashion_Childrens_Clothes,194.04,3
Bài 6 - Tính doanh thu năm 2024 theo danh mục sản phẩm,Cds_Dvds_Musicals,117.58,1
