Ten_Bai,Seller_ID,Total_Revenue,Total_Orders,Total_Items_Sold,Avg_Item_Revenue,Seller_Rank
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,f7ba60f8c3f99e7ee4042fdef03b70c4,72736.01,219,230,316.24,24
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,fe2032dab1a61af8794248c8196565c9,70680.95,294,306,230.98,25
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,de722cd6dad950a92b7d4f82673f8833,65112.75,339,379,171.8,26
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,7ddcbb64b5bc1ef36ca8c151f6ec77df,63525.29,334,343,185.2,27
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,04308b1ee57b6625f47df1d56f00eedf,63184.99,94,94,672.18,28
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,f8db351d8c4c4c22c6835c19a46f01b0,63079.8,667,724,87.13,29
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,218d46b86c1881d022bce9c68a7d4b15,62737.54,388,427,146.93,30
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,522620dcb18a6b31cd7bdf73665113a9,61829.81,174,180,343.5,31
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,25c5c91f63607446a97b143d2d535d31,61679.33,158,269,229.29,32
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,17e34d8224d27a541263c4c64b11a56b,61603.2,255,268,229.86,33
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,37be5a7c751166fbc5f8ccba4119e043,61433.88,272,281,218.63,34
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,ceaec5548eefc6e23e6607c5435102e7,59249.02,203,211,280.8,35
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,b2ba3715d723d245138f291a6fe42594,58173.02,337,363,160.26,36
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,17f51e7198701186712e53a39c564617,57812.43,56,61,947.74,37
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,f5a590cf36251cf1162ea35bef76fe84,57440.94,117,122,470.83,38
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,77530e9772f57a62c906e1c21538ab82,55063.99,320,389,141.55,39
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,8160255418d5aaa7dbdc9f4c64ebda44,54871.5,385,431,127.31,40
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,ea8482cd71df3c1969d7b9473ff13abc,54722.29,1146,1203,45.49,41
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,e882b2a25a10b9c057cc49695f222c19,53913.76,57,58,929.55,42
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,4e922959ae960d389249c378d1c939f5,53304.75,420,454,117.41,43
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,e9779976487b77c6d4ac45f75ec7afe9,53302.66,657,750,71.07,44
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,966cb4760537b1404caedd472cc610a5,52935.87,75,75,705.81,45
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,2bf6a2c1e71bbd29a4ad64e6d3c3629f,51629.49,30,31,1665.47,46
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,4d6d651bd7684af3fffabd5f08d12e5a,51486.31,369,395,130.35,47
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,c826c40d7b19f62a09e2d7c5e7295ee2,51217.22,354,373,137.31,48
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,d91fb3b7d041e83b64a00a3edfb37e4f,50180.51,535,536,93.62,49
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,391fc6631aebcf3004804e51b40bcf1e,50142.83,526,613,81.8,50
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,17a053fcb14bd219540cbde0df490be0,49531.57,125,149,332.43,51
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,c3cfdc648177fdbbbb35635a37472c53,49127.81,278,307,160.03,52
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,06a2c3af7b3aee5d69171b0e14f0ee87,48550.24,392,405,119.88,53
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,850f4f8af5ea87287ac68de36e29107f,48469.77,187,192,252.45,54
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,b33e7c55446eabf8fe1a42d037ac7d6d,47710.24,152,155,307.81,55
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,eeb6de78f79159600292e314a77cbd18,46795.28,83,84,557.09,56
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,712e6ed8aa4aa1fa65dab41fed5737e4,46704.13,79,87,536.83,57
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,2eb70248d66e0e3ef83659f71b244378,45860.1,202,212,216.32,58
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,ba90964cff9b9e0e6f32b23b82465f7b,45523.5,38,38,1197.99,59
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,634964b17796e64304cadf1ad3050fb7,45420.53,268,326,139.33,60
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,7142540dd4c91e2237acb7e911c4eba2,44289.16,319,331,133.8,61
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,834f3294fba9f932f56edc879193f925,44207.42,66,66,669.81,62
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,b839e41795b7f3ad94cc2014a52f6796,43749.93,33,36,1215.28,63
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,c3867b4666c7d76867627c2f7fb22e21,42197.18,245,259,162.92,64
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,1835b56ce799e6a4dc4eddc053f04066,42086.16,423,558,75.42,65
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,dbc22125167c298ef99da25668e1011f,41789.16,406,429,97.41,66
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,7299e27ed73d2ad986de7f7c77d919fa,41581.08,338,361,115.18,67
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,7178f9f4dd81dcef02f62acdf8151e01,41478.92,203,216,192.03,68
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,c70c1b0d8ca86052f45a432a38b73958,40476.28,261,338,119.75,69
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,53e4c6e0f4312d4d2107a8c9cddf45cd,40036.19,473,522,76.7,70
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,855668e0971d4dfd7bef1b6a4133b41b,40005.36,312,327,122.34,71
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,e9bc59e7b60fc3063eb2290deda4cced,39031.56,216,269,145.1,72
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,87142160b41353c4e5fca2360caf6f92,38314.31,305,339,113.02,73
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,0241d4d5d36f10f80c644447315af0bd,38251.61,238,246,155.49,74
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,59417c56835dd8e2e72f91f809cd4092,37657.77,18,18,2092.1,75
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,76d5af76d0271110f9af36c92573f765,37541.56,131,159,236.11,76
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,9c0e69c7bf2619675bbadf47b43f655a,36602.96,157,206,177.68,77
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,88460e8ebdecbfecb5f9601833981930,36543.1,248,302,121.0,78
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,70a12e78e608ac31179aea7f8422044b,36465.44,315,328,111.18,79
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,2528513dd95219a6013d4d05176e391a,36438.75,161,167,218.2,80
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,1554a68530182680ad5c8b042c3ab563,35850.79,247,269,133.27,81
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,7681ef142fd2c19048da7430856b5588,34857.93,59,77,452.7,82
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,70eea00b476a314817cefde4aad4f89a,34764.17,108,114,304.95,83
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,5c243662ce92d84573bfaff24c3e3700,34637.66,98,100,346.38,84
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,001cca7ae9ae17fb1caed9dfb1094831,33934.17,200,239,141.98,85
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,e59aa562b9f8076dd550fcddf0e73491,33803.97,70,84,402.43,86
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,1900267e848ceeba8fa32d80c1a5f5a8,33120.59,411,529,62.61,87
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,9f505651f4a6abe901a56cdc21508025,32391.86,397,430,75.33,88
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,d1c281d3ae149232351cd8c8cc885f0d,32339.06,215,240,134.75,89
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,0b90b6df587eb83608a64ea8b390cf07,32207.64,164,210,153.37,90
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,59b22a78efb79a4797979612b885db36,32082.07,125,133,241.22,91
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,d23019c84ffae2d5ef2270367b8605fc,31954.84,39,39,819.35,92
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,a3a38f4affed601eb87a97788c949667,31775.27,254,263,120.82,93
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,8b321bb669392f5163d04c59e235e066,31692.05,943,1018,31.13,94
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,900ba814c251a692506d7834c1218441,31467.94,88,88,357.59,95
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,16090f2ca825584b5a147ab24aa30c86,31173.11,402,410,76.03,96
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,d2374cbcbb3ca4ab1086534108cc3ab7,30817.8,524,631,48.84,97
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,12b9676b00f60f3b700e83af21824c0e,30342.69,135,135,224.76,98
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,7e1fb0a3ebfb01ffb3a7dae98bf3238d,30335.93,159,174,174.34,99
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,897060da8b9a21f655304d50fd935913,29887.47,317,430,69.51,100
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,c003204e1ab016dfa150abc119207b24,29850.89,197,202,147.78,101
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,b32be1695eb7ec5f10f72d9610a12527,29831.02,45,46,648.5,102
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,de23c3b98a88888289c6f5cc1209054a,29081.81,164,181,160.67,103
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,dc4a0fc896dc34b0d5bfec8438291c80,28795.09,231,249,115.64,104
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,a416b6a846a11724393025641d4edd5e,28670.52,162,181,158.4,105
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,710e3548e02bc1d2831dfc4f1b5b14d4,27855.07,136,142,196.16,106
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,1c68394e931a64f90ea236c5ea590300,27729.16,142,171,162.16,107
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,1a3df491d1c4f1589fc2b934ada68bf2,27594.12,167,178,155.02,108
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,f62d7bb4a613ec758a03342d46b580b2,26790.59,32,32,837.21,109
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,b94cc9f10ddc85e4ba73a6f7974e7101,26368.49,39,39,676.12,110
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,7ad32824caee82087b3e2e5f33b1bf32,26050.32,151,184,141.58,111
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,8f2ce03f928b567e3d56181ae20ae952,25550.01,153,175,146.0,112
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,729f06993dac8e860d4f02d7088ca48a,25479.65,96,115,221.56,113
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,f45122a9ab94eb4f3f8953578bc0c560,25404.13,187,200,127.02,114
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,612170e34b97004b3ba37eae81836b4c,25372.08,107,110,230.66,115
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,b1b3948701c5c72445495bd161b83a4c,25185.49,18,18,1399.19,116
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,8444e55c1f13cd5c179851e5ca5ebd00,24951.27,99,109,228.91,117
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,2b3e4a2a3ea8e01938cabda2a3e5cc79,24535.1,52,54,454.35,118
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,b37c4c02bda3161a7546a4e6d222d5b2,24487.6,4,15,1632.51,119
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,744dac408745240a2c2528fb1b6028f3,24385.02,79,84,290.3,120
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,06e5eefc71ec47ae763c5c6f8db7064f,24381.84,92,95,256.65,121
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,85d9eb9ddc5d00ca9336a2219c97bb13,24029.58,509,522,46.03,122
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,40db9e9aa57f7bb151bcda6b0f9bdbb7,23823.99,12,12,1985.33,123
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,05ff92fedb5be47920fea08e501238b9,23808.17,59,62,384.0,124
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,0dd184061fb0eaa7ca37932c68ab91c5,23766.42,161,193,123.14,125
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,59fb871bf6f4522a87ba567b42dafecf,23754.76,126,128,185.58,126
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,23695.2,20,20,1184.76,127
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,00ee68308b45bc5e2660cd833c3f81cc,23440.66,135,172,136.28,128
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,7b0df942f46435babab05d49b744b2c4,23272.78,32,32,727.27,129
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,004c9cd9d87a3c30c522c48c4fc07416,23263.94,158,170,136.85,130
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,f457c46070d02cadd8a68551231220dd,22807.22,199,234,97.47,131
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,bfd27a966d91cfaafdb25d076585f0da,22645.05,117,118,191.91,132
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,48162d548f5b1b11b9d29d1e01f75a61,22592.17,68,91,248.27,133
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,dc317f341ab0e22f39acbd9dbf9b4a1f,22570.13,55,58,389.14,134
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,44073f8b7e41514de3b7815dd0237f4f,21901.93,144,153,143.15,135
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,128639473a139ac0f3e5f5ade55873a5,21694.45,533,560,38.74,136
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,0c8380b62e38e8a1e6adbeba7eb9688c,21455.83,182,220,97.53,137
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,41b39e28db005d9731d9d485a83b4c38,21042.91,195,231,91.09,138
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,cd68562d3f44870c08922d380acae552,20777.19,125,132,157.4,139
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,821fb029fc6e495ca4f08a35d51e53a5,20740.25,28,29,715.18,140
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,54a1852d1b8f10312c55e906355666ee,20614.4,200,204,101.05,141
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,7aa4334be125fcdd2ba64b3180029f14,20603.33,217,240,85.85,142
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,86ccac0b835037332a596a33b6949ee1,20588.6,180,210,98.04,143
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,fa40cc5b934574b62717c68f3d678b6d,20586.77,307,340,60.55,144
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,76d64c4aca3a7baf218bf93ef7fa768d,20455.29,64,69,296.45,145
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,96493fab2fbb13a14d0c0e8772eef5c3,20181.23,63,64,315.33,146
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,d650b663c3b5f6fb392b6326366efa9a,20153.04,60,60,335.88,147
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,2a5b78b41cd05baeac8df54c6606b92c,20132.83,49,60,335.55,148
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,1e8b33f18b4f7598d87f5cbee2282cc2,20011.3,123,140,142.94,149
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,527801b552d0077ffd170872eb49683b,20005.36,90,92,217.45,150
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,c33847515fa6305ce6feb1e818569f13,19894.26,114,128,155.42,151
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,4b9750c8ad28220fe6702d4ecb7c898f,19305.1,218,222,86.96,152
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,9de4643a8dbde634fe55621059d92273,19282.41,72,81,238.05,153
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,2a84855fd20af891be03bc5924d2b453,19270.61,164,168,114.71,154
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,79ebd9a61bac3eaf882805ed4ecfa12a,19105.14,136,143,133.6,155
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,165fc07beebdcb6190fba8a06db2a449,19081.43,50,64,298.15,156
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,4c2b230173bb36f9b240f2b8ac11786e,18989.84,261,346,54.88,157
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,a888faf2d1baececa6baf9c3d603ee1f,18887.32,54,55,343.41,158
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,213b25e6f54661939f11710a6fddb871,18839.96,155,194,97.11,159
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,c72de06d72748d1a0dfb2125be43ba63,18733.18,21,22,851.51,160
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,94144541854e298c2d976cb893b81343,18715.65,68,76,246.26,161
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,ef0ace09169ac090589d85746e3e036f,18538.95,129,140,132.42,162
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,4a3ccda38b2129705f3fb522db62ca31,18494.93,66,78,237.11,163
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,0adac9fbd9a2b63cccaac4f8756c1ca8,18460.22,110,142,130.0,164
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,2138ccb85b11a4ec1e37afbd1c8eda1f,18426.25,396,429,42.95,165
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,abe42c5d03695b4257b5c6cbf4e6784e,18158.23,50,50,363.16,166
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,229c3efbfb0ea2058de4ccdfbc3d784a,18106.57,121,148,122.34,167
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,1b4c3a6f53068f0b6944d2d005c9fc89,17791.67,113,117,152.07,168
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,8ae520247981aa06bc94abddf5f46d34,17766.34,65,65,273.33,169
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,01fdefa7697d26ad920e9e0346d4bd1b,17690.07,129,131,135.04,170
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,66922902710d126a0e7d26b0e3805106,17581.07,151,156,112.7,171
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,d921b68bf747894be13a97ae52b0f386,17403.81,77,77,226.02,172
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,5cf13accae3222c70a9cac40818ae839,17402.47,149,156,111.55,173
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,ce248b21cb2adc36282ede306b7660e5,17296.95,65,66,262.07,174
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,e5a38146df062edaf55c38afa99e42dc,17254.59,121,125,138.04,175
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,d94a40fd42351c259927028d163af842,17220.94,101,110,156.55,176
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,c3acdfac4e3e97ff87529454fbc03642,17057.28,12,12,1421.44,177
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,6d66611d7c44cc30ce351abc49a68421,16854.37,166,176,95.76,178
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,2e90cb1677d35cfe24eef47d441b7c87,16782.16,127,137,122.5,179
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,669ae81880e08f269a64487cfb287169,16621.46,162,186,89.36,180
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,f9244d45189d3a3605499abddeade7d5,16607.42,21,21,790.83,181
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,1f1bb1f0859883505541bdd6606193e5,16562.87,27,29,571.13,182
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,3b15288545f8928d3e65a8f949a28291,16513.69,104,121,136.48,183
Bài 10 - Xếp hạng seller theo tổng doanh thu và số lượng đơn hàng,6061155addc1e54b4cfb51c1c2a32ad8,16513.31,28,33,500.4,184
